"","test/fixtures/cjs/one_only_one.js","test/fixtures/cjs/one_only_two.js","test/fixtures/cjs/root_one.js","test/fixtures/cjs/root_two.js","test/fixtures/cjs/shared.js","test/fixtures/cjs/somedata.json","test/fixtures/cjs/sub/depindir.js","test/fixtures/cjs/sub/dir.js","test/fixtures/cjs/two_only_one.js","fs","http","path",""
"test/fixtures/cjs/one_only_one.js","false","false","false","false","false","false","false","false","false","false","false","true",""
"test/fixtures/cjs/one_only_two.js","false","false","false","false","false","false","false","false","false","false","false","true",""
"test/fixtures/cjs/root_one.js","true","true","false","false","true","false","false","error","false","true","false","false",""
"test/fixtures/cjs/root_two.js","false","false","false","false","true","true","false","false","true","false","true","false",""
"test/fixtures/cjs/shared.js","false","false","false","false","false","false","false","false","false","false","false","true",""
"test/fixtures/cjs/somedata.json","false","false","false","false","false","false","false","false","false","false","false","false",""
"test/fixtures/cjs/sub/depindir.js","false","false","false","false","false","false","false","false","false","false","false","true",""
"test/fixtures/cjs/sub/dir.js","false","false","false","false","false","false","error","false","false","false","false","true",""
"test/fixtures/cjs/two_only_one.js","false","false","false","false","false","false","false","error","false","false","false","false",""
"fs","false","false","false","false","false","false","false","false","false","false","false","false",""
"http","false","false","false","false","false","false","false","false","false","false","false","false",""
"path","false","false","false","false","false","false","false","false","false","false","false","false",""
